barcode,description,external_id,name,kcal,protein,carbs,fat,fiber,sugar,sodium,magnesium,vitamin_c,vitamin_d
748252310699,"Fonio, grain, dry, raw",2666557,"Like Cous-Cous Fonio, Like Cous-Cous",355.48,6.67,82.2,0,2.2,0,0,0,0,0
751918018457,"Parsnips, raw",579494,Organic Parsnips,79.06,1.19,17.9,0.3,0,0,10,48,17,0
759033996322,"Mushroom, crimini",1970280,"Mushrooms Savory Pickled, Mushrooms",26.64,3.33,3.33,0,3.3,0,467,0,2,0
763441400449,"Cabbage, napa, leaf, destemmed, raw",2384535,"Salvadorean Pickled Cabbage, Salvadorean",3.08,0.77,0,0,0,0,392,0,0,0
768395527082,"Cookies, oatmeal, soft, with raisins",1960704,"Cookie Pop, Cookie",431.94,4.26,70.2,14.9,0,0,85,0,0,0
769087002603,"Cheese, queso fresco, solid",2009472,Cheese,278.48,17.9,3.57,21.4,0,0,1290,0,0,0
769363973368,"Turkey, ground, 93% lean/ 7% fat, raw",2151413,"Turkey Oktoberfest Patties, Turkey",158.37,17.7,0,9.73,0,0,66,0,0,0
782796015436,"Melons, honeydew, raw",2105474,Mixed Melon,35.36,0.71,8.13,0,0.7,0,11,0,8.5,0
784672484374,"Almond milk, unsweetened, plain, refrigerated",1935836,"Almond Milk, Original",19.4,0.45,0.89,1.56,0.4,0,4,0,0,0
793232114033,"Farro, pearled, dry, raw",2508901,"Whole Grain Farro, Whole Grain",363,12,72,3,8,0,0,0,0,0
796853100041,"Pork, loin, tenderloin, boneless, raw",2135930,Pork,125.74,21.4,0,4.46,0,0,214,0,0,0
799137255017,"Nuts, pecans, halves, raw",2167314,Pecan Nuts,742.6,10.7,14.3,71.4,10.7,0,0,0,4.3,0
799424002102,"Peaches, yellow, raw",1548924,Peaches,46.58,0.68,10.2,0.34,1.4,0,0,0,6.1,0
810016360728,"Tomatillos, dehusked, raw",2460077,"Tomatillo Cilantro Truffle Hot Sauce, Tomatillo Cilantro",0,0,0,0,0,0,2200,0,0,0
810112960600,"Watermelon, seedless, flesh only, raw",2369392,"Watermelon Chunks, Watermelon",2.8,0.7,0,0,0.7,0,0,0,0,0
810487003247,"Carrots, frozen, unprepared",2604043,"Carrot Pineapple Juice, Carrot; Pineapple",33.32,0.83,7.5,0,0,0,38,0,0,0
810698548681,"Fish, pollock, raw",2593092,Swai Fish Steak,62.51,11.6,0,1.79,0,0,464,0,0,0
811184030925,"Watermelon, seedless, rind only, raw",1995533,"Watermelon Kombucha, Watermelon",13.52,0,3.38,0,0,0,0,0,0,0
811371700648,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",1917372,Orange Juice,46.81,0.83,10.4,0.21,0,0,0,0,35,0
811725031299,"Squash, summer, green, zucchini, includes skin, raw",2642990,Quatered Squash Blend,17.6,1.1,3.3,0,1.1,0,0,0,0,0
813636021611,"Oat milk, unsweetened, plain, refrigerated",2664361,"Oat Barista Blend, Oat",51.28,0.83,5.42,2.92,0.4,0,48,0,0,0
814703000065,"Ketchup, restaurant",2554236,Ketchup,106.8,0,26.7,0,0,0,933,0,0,0
814857020018,"Cheese, parmesan, grated, refrigerated",2095090,Cheese,400.08,32.1,3.57,28.6,0,0,714,0,0,0
815421011135,"Einkorn, grain, dry, raw",2608614,"Einkorn Organic Ancient Grain Pasta, Whole Wheat Fusilli",360.47,14,70.2,2.63,8.8,0,0,114,0,0
815838024025,"Scallops, bay, Patagonian, frozen, wild caught",2631071,Jumbo Scallops,77.2,16,2.4,0.4,0,0,400,0,0,0
815867023211,"Cauliflower, raw",2403289,Cauliflower Florets,25.88,1.76,4.71,0,1.8,0,29,0,49.4,0
815867028407,"Squash, pie pumpkin, peeled, seeded, raw",2274736,"Butternut Squash, Butternut",3.52,0.88,0,0,2.2,0,4,0,0,0
815867028858,"Peppers, bell, green, raw",2423081,"Pepper Tri-Blend, Pepper",24,1,5,0,1,0,0,0,0,0
816143011069,"Pear, Anjou, green, with skin, raw",2159863,"Pear Premium Nectar, Pear",59.2,0,14.8,0,0.4,0,6,0,25.3,0
816697023006,"Beef, ground, 90% lean meat / 10% fat, raw",2466144,Beef,170.7,16.8,0,11.5,4.4,0,327,0,0,0
818617022793,"Celery, raw",2466495,"Celery Cold-Pressed Vegetable & Fruit Juice, Celery",16.96,0.65,3.23,0.16,0,0,77,0,4.5,0
818808018437,"Shallots, bulb, peeled, root removed, raw",2452675,"King Shallot Black Garlic, Black",0,0,0,0,0,0,9290,0,0,0
819898014002,"Apple juice, with added vitamin C, from concentrate, shelf stable",2369909,"Apple Juice, Apple",45.2,0,11.3,0,0,0,6,0,0,0
826022000053,"Strawberries, raw",2652552,Strawberries,34.28,0.71,7.86,0,2.1,0,0,0,60.7,0
826766780891,"Rutabaga, peeled, raw",2291370,Diced Rutabaga,0,0,0,0,0,0,0,0,0,0
850004143407,"Oats, whole grain, rolled, old fashioned",2464657,Oat Flour,393.23,13.3,70,6.67,10,0,0,0,0,533
850160003225,"Fennel, bulb, raw",2640507,"Tomato Fennel Soup, Tomato Fennel",30.62,0.88,5.29,0.66,2.2,0,145,0,13.2,0
850403000448,"Millet, whole grain",2665288,Millet Flour,363.17,10,73.3,3.33,13.3,0,7,0,0,0
850898005034,"Grapefruit juice, white, canned or bottled, unsweetened",2545121,"Lumi, Morning Sunrise Juice, Grapefruit, Lime, Grapefruit, Lime",31.68,0.42,7.5,0,0.4,0,0,0,37.5,0
851587003515,"Yogurt, Greek, strawberry, nonfat",464109,Greek Yogurt,80,8,12,0,0,0,33,0,0.8,0
